"APPLICATION_NAME","MODULE_NAME","SERVICE_NAME","TOTAL_TRANSATION","AVERAGE_RESPONSE_TIME","LESS_THAN_5s","RATE_LESS_THAN_5s","BETWEEN_5s_TO_10s","RATE_BETWEEN_5s_TO_10s","BETWEEN_10s_TO_15s","RATE_BETWEEN_10s_TO_15s","BETWEEN_15s_TO_20s","RATE_BETWEEN_15s_TO_20s","MORE_THAN_20s","RATE_MORE_THAN_20s"
"CS2-ACZ-COSCON-PROD","Bill Of Lading Print","B/L Print save view request",264,"9.689394",169,"64.0%",74,"28.0%",22,"8.33%",12,"4.54%",23,"8.71%"
"CS2-ACZ-COSCON-PROD","Bill Of Lading Print","Bill Of Lading Print View BL Process",264,"714.681818",0,"0%",0,"0%",0,"0%",0,"0%",264,"100%"
"CS2-ACZ-COSCON-PROD","Booking Request","Add appointment",3,"0.666667",3,"100%",0,"0%",0,"0%",0,"0%",0,"0%"
"CS2-ACZ-COSCON-PROD","Booking Request","Auto complete on origin, destination when using BR datasource",5577,"1.429980",5503,"98.6%",62,"1.11%",21,"0.37%",6,"0.10%",11,"0.19%"
"CS2-ACZ-COSCON-PROD","Booking Request","Auto complete on origin, destination when using SSM datasoruce",26261,"2.617836",25042,"95.3%",716,"2.72%",273,"1.03%",200,"0.76%",344,"1.30%"
"CS2-ACZ-COSCON-PROD","Booking Request","Auto complete on vessel when using Intended Vessel Voyage",2060,"643.247087",189,"9.17%",0,"0%",22,"1.06%",118,"5.72%",1779,"86.3%"
"CS2-ACZ-COSCON-PROD","Booking Request","Copy booking from shipment detail",34,"15.411765",0,"0%",11,"32.3%",13,"38.2%",3,"8.82%",8,"23.5%"
"CS2-ACZ-COSCON-PROD","Booking Request","Delete draft",3,"94.000000",0,"0%",0,"0%",0,"0%",0,"0%",3,"100%"
"CS2-ACZ-COSCON-PROD","Booking Request","Delete template",18,"349.944444",0,"0%",0,"0%",0,"0%",0,"0%",18,"100%"
"CS2-ACZ-COSCON-PROD","Booking Request","Find party",4733,"47.272554",3444,"72.7%",275,"5.81%",232,"4.90%",143,"3.02%",785,"16.5%"
"CS2-ACZ-COSCON-PROD","Booking Request","Find sailing schedule",5631,"1.069792",5617,"99.7%",8,"0.14%",3,"0.05%",0,"0%",5,"0.08%"
"CS2-ACZ-COSCON-PROD","Booking Request","List carrieer assigned templates",16,"23.187500",7,"43.7%",3,"18.7%",1,"6.25%",0,"0%",7,"43.7%"
"CS2-ACZ-COSCON-PROD","Booking Request","List drafts",389,"10.154242",235,"60.4%",67,"17.2%",25,"6.42%",11,"2.82%",74,"19.0%"
"CS2-ACZ-COSCON-PROD","Booking Request","List my company templates",55,"429.563636",0,"0%",0,"0%",10,"18.1%",18,"32.7%",32,"58.1%"
"CS2-ACZ-COSCON-PROD","Booking Request","List my templates",4438,"39.057909",1134,"25.5%",653,"14.7%",514,"11.5%",410,"9.23%",2084,"46.9%"
"CS2-ACZ-COSCON-PROD","Booking Request","Modify appointment",9,"1.111111",9,"100%",0,"0%",0,"0%",0,"0%",0,"0%"
"CS2-ACZ-COSCON-PROD","Booking Request","Modify draft",216,"65.657407",0,"0%",0,"0%",0,"0%",5,"2.31%",212,"98.1%"
"CS2-ACZ-COSCON-PROD","Booking Request","Modify template",94,"141.680851",0,"0%",0,"0%",0,"0%",6,"6.38%",89,"94.6%"
"CS2-ACZ-COSCON-PROD","Booking Request","Save as draft (create new draft)",92,"63.250000",0,"0%",0,"0%",5,"5.43%",6,"6.52%",83,"90.2%"
"CS2-ACZ-COSCON-PROD","Booking Request","Save as draft (replace existing draft)",16,"111.500000",0,"0%",0,"0%",0,"0%",0,"0%",16,"100%"
"CS2-ACZ-COSCON-PROD","Booking Request","Save as template (create new template)",209,"64.846890",0,"0%",0,"0%",14,"6.69%",25,"11.9%",182,"87.0%"
"CS2-ACZ-COSCON-PROD","Booking Request","Save as template (replace existing template)",76,"263.526316",0,"0%",0,"0%",0,"0%",0,"0%",76,"100%"
"CS2-ACZ-COSCON-PROD","Booking Request","Search booking",5971,"770.783453",176,"2.94%",132,"2.21%",121,"2.02%",117,"1.95%",5515,"92.3%"
"CS2-ACZ-COSCON-PROD","Booking Request","Submit booking : booking receipt",6186,"124.423537",0,"0%",1,"0.01%",11,"0.17%",5,"0.08%",6171,"99.7%"
"CS2-ACZ-COSCON-PROD","Booking Request","Submit booking : booking summary",177,"19.870056",13,"7.34%",43,"24.2%",57,"32.2%",25,"14.1%",70,"39.5%"
"CS2-ACZ-COSCON-PROD","Booking Request","View template",56,"167.767857",0,"0%",0,"0%",0,"0%",1,"1.78%",56,"100%"
"CS2-ACZ-COSCON-PROD","Customer Support","Search Customer User",53,"70.622642",4,"7.54%",0,"0%",3,"5.66%",4,"7.54%",42,"79.2%"
"CS2-ACZ-COSCON-PROD","Customized Report","Modify Template",1,"117.000000",0,"0%",0,"0%",0,"0%",0,"0%",1,"100%"
"CS2-ACZ-COSCON-PROD","Customized Report","Save Template",1,"10.000000",0,"0%",1,"100%",1,"100%",0,"0%",0,"0%"
"CS2-ACZ-COSCON-PROD","Customized Report","Search Template Lists",26,"25.423077",5,"19.2%",7,"26.9%",3,"11.5%",1,"3.84%",12,"46.1%"
"CS2-ACZ-COSCON-PROD","Document manager(dm)","PreStore document from file path",133,"770.917293",0,"0%",0,"0%",0,"0%",0,"0%",133,"100%"
"CS2-ACZ-COSCON-PROD","Interaction History","Search Service Request Within ShipmentCoverage",11,"9.636364",3,"27.2%",6,"54.5%",5,"45.4%",0,"0%",1,"9.09%"
"CS2-ACZ-COSCON-PROD",Login,"MCC Logged-in",13,"27.230769",0,"0%",1,"7.69%",1,"7.69%",2,"15.3%",10,"76.9%"
"CS2-ACZ-COSCON-PROD","Milestone Plan Template Customization","Define Milestone Alias - Start Page",12,"0.166667",12,"100%",0,"0%",0,"0%",0,"0%",0,"0%"
"CS2-ACZ-COSCON-PROD","Milestone Plan Template Customization","Subscribe Standard Milestone - Start Page",17,"91.705882",3,"17.6%",8,"47.0%",1,"5.88%",2,"11.7%",4,"23.5%"
"CS2-ACZ-COSCON-PROD","Milestone Plan Template Customization","Subscribe User-Defined Milestone - Start Page",16,"21.000000",11,"68.7%",6,"37.5%",0,"0%",0,"0%",1,"6.25%"
"CS2-ACZ-COSCON-PROD","My Request","Display Regional Form",122,"5232.803279",0,"0%",0,"0%",0,"0%",0,"0%",122,"100%"
